Customer_Status,Age,Gender,Income_Level,Tenure_Months,Inactive_Months_In_Last_12,Credit_Limit,Total_Trans_Amount,Total_Trans_Count,Avg_Utilization_Ratio
Existing Customer,41,F,Unknown,30,1,5417.0,1768,56,0.35
Attrited Customer,60,M,$40K - $60K,47,1,3735.0,8193,66,0.32
Existing Customer,47,M,Less than $40K,34,1,8390.0,8316,92,0.0
Existing Customer,44,M,$60K - $80K,37,2,1682.0,3309,67,0.55
Existing Customer,47,F,Less than $40K,36,2,2500.0,4265,87,0.47
Existing Customer,37,M,$40K - $60K,25,2,2608.0,2565,72,0.69
Existing Customer,59,M,$60K - $80K,48,1,3868.0,4716,79,0.36
Existing Customer,47,F,Less than $40K,35,2,5544.0,1336,38,0.21
Attrited Customer,56,F,Unknown,42,2,3674.0,2608,45,0.68
Existing Customer,51,F,Less than $40K,39,3,2268.0,5016,88,0.29
Existing Customer,45,F,Less than $40K,31,1,1946.0,8423,82,0.61
Attrited Customer,38,M,$80K - $120K,26,3,1438.3,1585,32,0.0
Attrited Customer,42,F,Less than $40K,23,2,1443.0,2092,38,0.0
Existing Customer,47,F,Less than $40K,34,3,5950.0,4655,66,0.0
Existing Customer,57,F,Less than $40K,44,3,1737.0,3669,58,0.47
Attrited Customer,33,M,$80K - $120K,36,3,7140.0,916,18,0.0
Existing Customer,43,M,$40K - $60K,32,3,2142.0,4424,88,0.64
Existing Customer,60,F,Less than $40K,49,1,11060.0,4545,83,0.15
Existing Customer,34,M,$80K - $120K,21,4,4670.0,2256,56,0.0
Existing Customer,53,M,$60K - $80K,47,3,13848.0,1773,38,0.1
Existing Customer,37,F,Less than $40K,30,2,2077.0,1629,36,0.67
Existing Customer,53,F,$40K - $60K,46,2,1438.3,2118,64,0.0
Existing Customer,44,F,Less than $40K,32,1,4852.0,1775,55,0.37
Existing Customer,53,M,$120K +,41,3,7272.0,2333,56,0.28
Existing Customer,57,M,$80K - $120K,48,4,13457.0,3303,66,0.08
